0,0.0
1,1.0
2,8.0
3,27.0
4,64.0
5,125.0
6,216.0
7,343.0
8,512.0
9,729.0
10,1000.0
11,1331.0
12,1728.0
13,2197.0
14,2744.0
15,3375.0
16,4096.0
17,4913.0
18,5832.0
19,6859.0
20,8000.0
21,9261.0
22,10648.0
23,12167.0
24,13824.0
25,15625.0
26,17576.0
27,19683.0
28,21952.0
29,24389.0
30,27000.0
31,29791.0
32,32768.0
33,35937.0
34,39304.0
35,42875.0
36,46656.0
37,50653.0
38,54872.0
39,59319.0
40,64000.0
41,68921.0
42,74088.0
43,79507.0
44,85184.0
45,91125.0
46,97336.0
47,103823.0
48,110592.0
49,117649.0
50,125000.0
51,132651.0
52,140608.0
53,148877.0
54,157464.0
55,166375.0
56,175616.0
57,185193.0
58,195112.0
59,205379.0
60,216000.0
61,226981.0
62,238328.0
63,250047.0
64,262144.0
65,274625.0
66,287496.0
67,300763.0
68,314432.0
69,328509.0
70,343000.0
71,357911.0
72,373248.0
73,389017.0
74,405224.0
75,421875.0
76,438976.0
77,456533.0
78,474552.0
79,493039.0
80,512000.0
81,531441.0
82,551368.0
83,571787.0
84,592704.0
85,614125.0
86,636056.0
87,658503.0
88,681472.0
89,704969.0
90,729000.0
91,753571.0
92,778688.0
93,804357.0
94,830584.0
95,857375.0
96,884736.0
97,912673.0
98,941192.0
99,970299.0
